Name,Matches,Innings,NO,Runs,Highest Score,Average,Balls Faced,Strike Rate,100,200,50,4s,6s,Matches,Innings,Balls,Runs,Wickets,Best,Best,Economy,Average,Strike Rate,5W,10W
Ruturaj Gaikwad,22,22,4,839,101,46.61,635,132.13,1,0,7,80,29,22,-,-,-,-,-,-,-,-,-,-,-
Ambati Rayudu,175,164,30,3916,100,29.22,3072,127.47,1,0,21,324,149,175,-,-,-,-,-,-,-,-,-,-,-
Subhranshu Senapati,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Hari Nishanth,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dwayne Bravo,151,107,40,1537,70,22.94,1180,130.25,0,0,5,120,65,151,148,2913,4061,167,4/22,4/22,8.36,24.32,17.44,0,0
Moeen Ali,34,32,3,666,66,22.97,455,146.37,0,0,4,52,42,34,27,411,469,16,3/7,3/7,6.85,29.31,25.69,0,0
Ravindra Jadeja,200,151,63,2386,62,27.11,1862,128.14,0,0,2,176,85,200,171,3007,3816,127,5/16,5/16,7.61,30.05,23.68,1,0
Mitchell Santner,6,2,1,32,22,32.0,23,139.13,0,0,0,0,3,6,6,126,147,6,2/13,2/13,7.0,24.5,21.0,0,0
Shivam Dube,24,22,4,399,64,22.17,331,120.54,0,0,1,24,22,24,11,94,130,4,2/15,2/15,8.3,32.5,23.5,0,0
Bhagath Varma,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dwaine Pretorius,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MS Dhoni,220,193,73,4746,84,39.55,3494,135.83,0,0,23,325,219,220,-,-,-,-,-,-,-,-,-,-,-
Devon Conway,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Robin Uthappa,193,186,17,4722,87,27.94,3628,130.15,0,0,25,462,168,193,-,-,-,-,-,-,-,-,-,-,-
N Jagadeesan,5,2,0,33,33,16.5,29,113.79,0,0,0,4,0,5,-,-,-,-,-,-,-,-,-,-,-
Deepak Chahar,63,12,5,79,39,11.29,57,138.6,0,0,0,2,6,63,63,1324,1722,59,4/13,4/13,7.8,29.19,22.44,0,0
KM Asif,3,-,-,-,-,-,-,-,-,-,-,-,-,3,3,49,93,4,2/43,2/43,11.39,23.25,12.25,0,0
Chris Jordan,24,9,2,64,30,9.14,57,112.28,0,0,0,3,3,24,24,459,698,25,4/11,4/11,9.12,27.92,18.36,0,0
Maheesh Theekshana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rajvardhan Hangargekar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Simarjeet Singh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Adam Milne,9,6,2,23,15,5.75,29,79.31,0,0,0,0,1,9,9,192,308,7,2/21,2/21,9.62,44.0,27.43,0,0
Mukesh Choudhary,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Prashant Solanki,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tushar Deshpande,5,2,1,21,20,21.0,12,175.0,0,0,0,2,1,5,5,102,192,3,2/37,2/37,11.29,64.0,34.0,0,0
Prithvi Shaw,53,53,0,1305,99,24.62,892,146.3,0,0,10,155,45,53,-,-,-,-,-,-,-,-,-,-,-
Mandeep Singh,105,92,16,1674,77,22.03,1349,124.09,0,0,6,172,37,105,2,12,26,0,0/8,0/8,13.0,0.0,0.0,0,0
Yash Dhull,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rovman Powell,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sarfaraz Khan,40,28,9,441,67,23.21,319,138.24,0,0,1,50,11,40,1,2,6,0,0/6,0/6,0.0,0.0,0.0,0,0
Ashwin Hebbar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
David Warner,150,150,19,5449,126,41.6,3893,139.97,4,0,50,526,200,150,1,1,2,0,0/2,0/2,0.0,0.0,0.0,0,0
Lalit Yadav,7,5,3,68,22,34.0,73,93.15,0,0,0,7,0,7,5,84,101,4,2/13,2/13,7.21,25.25,21.0,0,0
Ripal Patel,2,2,1,25,18,25.0,27,92.59,0,0,0,3,0,2,1,18,22,0,0/22,0/22,7.33,0.0,0.0,0,0
,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Axar Patel,109,78,23,953,44,17.33,761,125.23,0,0,0,55,44,109,108,2295,2762,95,4/21,4/21,7.22,29.07,24.16,0,0
Rishabh Pant,84,84,13,2498,128,35.18,1694,147.46,1,0,15,225,113,84,-,-,-,-,-,-,-,-,-,-,-
Tim Seifert,1,1,0,2,2,2.0,4,50.0,0,0,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-
Srikar Bharat,8,7,2,191,78,38.2,156,122.44,0,0,1,10,8,8,-,-,-,-,-,-,-,-,-,-,-
Praveen Dubey,3,1,1,7,7,0.0,13,53.85,0,0,0,0,0,3,3,48,72,0,0/14,0/14,9.0,0.0,0.0,0,0
Anrich Nortje,24,5,4,7,3,7.0,6,116.67,0,0,0,0,0,24,24,548,699,34,3/33,3/33,7.65,20.56,16.12,0,0
Vicky Ostwal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
